image,label,component,sequence,frame
Adverse_A_scene_000000_000000000000000025.png,Adverse_A_scene_000000_000000000000000025.txt,Adverse_A,Adverse_A_scene_000000,000000000000000025
Adverse_A_scene_000000_000000000000000045.png,Adverse_A_scene_000000_000000000000000045.txt,Adverse_A,Adverse_A_scene_000000,000000000000000045
Adverse_A_scene_000000_000000000000000065.png,Adverse_A_scene_000000_000000000000000065.txt,Adverse_A,Adverse_A_scene_000000,000000000000000065
Adverse_A_scene_000000_000000000000000085.png,Adverse_A_scene_000000_000000000000000085.txt,Adverse_A,Adverse_A_scene_000000,000000000000000085
Adverse_A_scene_000000_000000000000000105.png,Adverse_A_scene_000000_000000000000000105.txt,Adverse_A,Adverse_A_scene_000000,000000000000000105
Adverse_A_scene_000000_000000000000000125.png,Adverse_A_scene_000000_000000000000000125.txt,Adverse_A,Adverse_A_scene_000000,000000000000000125
Adverse_A_scene_000000_000000000000000145.png,Adverse_A_scene_000000_000000000000000145.txt,Adverse_A,Adverse_A_scene_000000,000000000000000145
Adverse_A_scene_000000_000000000000000165.png,Adverse_A_scene_000000_000000000000000165.txt,Adverse_A,Adverse_A_scene_000000,000000000000000165
Adverse_A_scene_000000_000000000000000185.png,Adverse_A_scene_000000_000000000000000185.txt,Adverse_A,Adverse_A_scene_000000,000000000000000185
Adverse_A_scene_000000_000000000000000205.png,Adverse_A_scene_000000_000000000000000205.txt,Adverse_A,Adverse_A_scene_000000,000000000000000205
Adverse_A_scene_000001_000000000000000025.png,Adverse_A_scene_000001_000000000000000025.txt,Adverse_A,Adverse_A_scene_000001,000000000000000025
Adverse_A_scene_000001_000000000000000045.png,Adverse_A_scene_000001_000000000000000045.txt,Adverse_A,Adverse_A_scene_000001,000000000000000045
Adverse_A_scene_000001_000000000000000065.png,Adverse_A_scene_000001_000000000000000065.txt,Adverse_A,Adverse_A_scene_000001,000000000000000065
Adverse_A_scene_000001_000000000000000085.png,Adverse_A_scene_000001_000000000000000085.txt,Adverse_A,Adverse_A_scene_000001,000000000000000085
Adverse_A_scene_000001_000000000000000105.png,Adverse_A_scene_000001_000000000000000105.txt,Adverse_A,Adverse_A_scene_000001,000000000000000105
Adverse_A_scene_000001_000000000000000125.png,Adverse_A_scene_000001_000000000000000125.txt,Adverse_A,Adverse_A_scene_000001,000000000000000125
Adverse_A_scene_000001_000000000000000145.png,Adverse_A_scene_000001_000000000000000145.txt,Adverse_A,Adverse_A_scene_000001,000000000000000145
Adverse_A_scene_000001_000000000000000165.png,Adverse_A_scene_000001_000000000000000165.txt,Adverse_A,Adverse_A_scene_000001,000000000000000165
Adverse_A_scene_000001_000000000000000185.png,Adverse_A_scene_000001_000000000000000185.txt,Adverse_A,Adverse_A_scene_000001,000000000000000185
Adverse_A_scene_000001_000000000000000205.png,Adverse_A_scene_000001_000000000000000205.txt,Adverse_A,Adverse_A_scene_000001,000000000000000205
Adverse_A_scene_000002_000000000000000025.png,Adverse_A_scene_000002_000000000000000025.txt,Adverse_A,Adverse_A_scene_000002,000000000000000025
Adverse_A_scene_000002_000000000000000045.png,Adverse_A_scene_000002_000000000000000045.txt,Adverse_A,Adverse_A_scene_000002,000000000000000045
Adverse_A_scene_000002_000000000000000065.png,Adverse_A_scene_000002_000000000000000065.txt,Adverse_A,Adverse_A_scene_000002,000000000000000065
Adverse_A_scene_000002_000000000000000085.png,Adverse_A_scene_000002_000000000000000085.txt,Adverse_A,Adverse_A_scene_000002,000000000000000085
Adverse_A_scene_000002_000000000000000105.png,Adverse_A_scene_000002_000000000000000105.txt,Adverse_A,Adverse_A_scene_000002,000000000000000105
Adverse_A_scene_000002_000000000000000125.png,Adverse_A_scene_000002_000000000000000125.txt,Adverse_A,Adverse_A_scene_000002,000000000000000125
Adverse_A_scene_000002_000000000000000145.png,Adverse_A_scene_000002_000000000000000145.txt,Adverse_A,Adverse_A_scene_000002,000000000000000145
Adverse_A_scene_000002_000000000000000165.png,Adverse_A_scene_000002_000000000000000165.txt,Adverse_A,Adverse_A_scene_000002,000000000000000165
Adverse_A_scene_000002_000000000000000185.png,Adverse_A_scene_000002_000000000000000185.txt,Adverse_A,Adverse_A_scene_000002,000000000000000185
Adverse_A_scene_000002_000000000000000205.png,Adverse_A_scene_000002_000000000000000205.txt,Adverse_A,Adverse_A_scene_000002,000000000000000205
Adverse_A_scene_000003_000000000000000025.png,Adverse_A_scene_000003_000000000000000025.txt,Adverse_A,Adverse_A_scene_000003,000000000000000025
Adverse_A_scene_000003_000000000000000045.png,Adverse_A_scene_000003_000000000000000045.txt,Adverse_A,Adverse_A_scene_000003,000000000000000045
Adverse_A_scene_000003_000000000000000065.png,Adverse_A_scene_000003_000000000000000065.txt,Adverse_A,Adverse_A_scene_000003,000000000000000065
Adverse_A_scene_000003_000000000000000085.png,Adverse_A_scene_000003_000000000000000085.txt,Adverse_A,Adverse_A_scene_000003,000000000000000085
Adverse_A_scene_000003_000000000000000105.png,Adverse_A_scene_000003_000000000000000105.txt,Adverse_A,Adverse_A_scene_000003,000000000000000105
Adverse_A_scene_000003_000000000000000125.png,Adverse_A_scene_000003_000000000000000125.txt,Adverse_A,Adverse_A_scene_000003,000000000000000125
Adverse_A_scene_000003_000000000000000145.png,Adverse_A_scene_000003_000000000000000145.txt,Adverse_A,Adverse_A_scene_000003,000000000000000145
