dataset,method,Capture@5%,AUROC,AUPRC,NAURC
bdd100k,ours_detsae,0.07792207598686218,0.6478591893341856,0.891863226890564,0.7297882991542584
bdd100k,sf,0.055458053946495056,0.5407307635234627,0.8475186228752136,0.9461888296310633
bdd100k,lfr,0.051772553473711014,0.5270423596287968,0.8419235348701477,0.9451199565832902
bdd100k,lf_ash_p75,0.056511055678129196,0.5133927654182885,0.8354752063751221,0.9997784985973289
bdd100k,lfa,0.05844155699014664,0.5428356181583663,0.8546999096870422,0.9296962869083897
bdd100k,saod_global,0.049842048436403275,0.47592315682536784,0.8039911389350891,1.0192145532515624
bdd100k,vilu_det,0.06335556507110596,0.588252080313217,0.8672712445259094,0.8453163379876444
bdd100k,bta_det,0.03650403767824173,0.4799251201388017,0.8145756721496582,1.0359307767288117
bdd100k,kgfp_det,0.07283256947994232,0.6196331343385802,0.8877789974212646,0.8171202792912816
bdd100k,gram,0.04492804408073425,0.4530094627141667,0.8121543526649475,1.0655513390792037
bdd100k,knn5,0.04317304491996765,0.48397502482678323,0.8193130493164062,1.0422934936758428
bdd100k,vim_residual_pca100,0.055458053946495056,0.4809455865398884,0.8260921239852905,1.0346685357302272
foggy,ours_detsae,0.06879954785108566,0.6920294960311869,0.9512869119644165,0.6457424550245127
foggy,sf,0.06766704469919205,0.61814851345639,0.9418051242828369,0.8450662945339146
foggy,lfr,0.06879954785108566,0.7539335869616269,0.9653409719467163,0.5915207132327941
foggy,lf_ash_p75,0.06851641833782196,0.7536048095439387,0.9652348160743713,0.6191731659689714
foggy,lfa,0.06200452893972397,0.6570381851486543,0.9482150673866272,0.71677535840277
foggy,saod_global,0.012740656733512878,0.3115400873608567,0.831119179725647,1.1543447905260813
foggy,vilu_det,0.06058889999985695,0.7851204734394814,0.9640048742294312,0.5095505116245149
foggy,bta_det,0.05294450744986534,0.523131839744493,0.9017609357833862,0.9674954352376411
foggy,kgfp_det,0.06200452893972397,0.7414400450894745,0.9538252353668213,0.5203521126962299
foggy,gram,0.04784824326634407,0.45798694283969754,0.8970510959625244,1.0696078150398318
foggy,knn5,0.05237825587391853,0.4572824198017942,0.9083943963050842,1.0934505566477313
foggy,vim_residual_pca100,0.04926387220621109,0.47489549574937767,0.9062156677246094,1.0547470989718044
kitti,ours_detsae,0.15015974640846252,0.753061232046045,0.4972282648086548,0.3946349678575912
kitti,sf,0.11309903860092163,0.6383329029104915,0.38160237669944763,0.6776677414605652
kitti,lfr,0.050479233264923096,0.5589060965461575,0.28526926040649414,0.8311349496993904
kitti,lf_ash_p75,0.0971245989203453,0.6261102826628456,0.3543977737426758,0.6695972990309815
kitti,lfa,0.14824281632900238,0.7204012096270317,0.4798963963985443,0.5130187281132879
kitti,saod_global,0.005431309808045626,0.30020604757977404,0.17986445128917694,1.4901571688015458
kitti,vilu_det,0.1274760365486145,0.5843149288228722,0.3714677095413208,0.8710236342081776
kitti,bta_det,0.10287539660930634,0.6943701617927065,0.41669297218322754,0.5504543790686104
kitti,kgfp_det,0.09488818049430847,0.7124834657462097,0.42625993490219116,0.49787402808545994
kitti,gram,0.07156549394130707,0.43782528164926926,0.24997186660766602,1.2124256595771397
kitti,knn5,0.14376996457576752,0.675880029583471,0.4303427040576935,0.5511993532311563
kitti,vim_residual_pca100,0.05399360880255699,0.4835837653760461,0.24826960265636444,1.0467434324664315
rainy,ours_detsae,0.0761859118938446,0.8591579861111112,0.9951865673065186,0.6866217440578278
rainy,sf,0.038332533091306686,0.6089409722222222,0.9838423728942871,0.9795131135911314
rainy,lfr,0.06804025173187256,0.4008246527777778,0.9712271690368652,1.1322461201752558
rainy,lf_ash_p75,0.0512697659432888,0.69140625,0.9885634779930115,0.9386872909937669
rainy,lfa,0.0675610899925232,0.5570746527777778,0.9771537780761719,0.9759504947864918
rainy,saod_global,0.03689506649971008,0.70703125,0.9891812801361084,0.9230242568270876
rainy,vilu_det,0.04456157237291336,0.810546875,0.9935848712921143,0.8136614791017179
rainy,bta_det,0.047436513006687164,0.5629340277777778,0.9725675582885742,0.9857962162958558
rainy,kgfp_det,0.070436030626297,0.7063802083333334,0.9885037541389465,0.9166134556431821
rainy,gram,0.04072831943631172,0.3274739583333333,0.9613835215568542,1.1561257357821004
rainy,knn5,0.045519884675741196,0.6675347222222222,0.9857656955718994,0.8967470600824925
rainy,vim_residual_pca100,0.0498322956264019,0.2907986111111111,0.9464111924171448,1.1543576462663918
realdrivesim,ours_detsae,0.08800458163022995,0.824768887397109,0.9755184650421143,0.47184169645165547
realdrivesim,sf,0.0575818307697773,0.5623325668791407,0.918390691280365,0.9024521141944843
realdrivesim,lfr,0.06013932451605797,0.6208643627032724,0.9331991076469421,0.805707302357338
realdrivesim,lf_ash_p75,0.05490981787443161,0.5977966271832965,0.9256619215011597,0.7755683136075148
realdrivesim,lfa,0.08579062670469284,0.7434893219233085,0.965463399887085,0.6319102381342565
realdrivesim,saod_global,0.011356045491993427,0.298150158100783,0.8276558518409729,1.1788688266676144
realdrivesim,vilu_det,0.05296307057142258,0.7096952795623369,0.9515653848648071,0.6956163713223675
realdrivesim,bta_det,0.03282755985856056,0.4841146356153383,0.8929709196090698,1.02662621385798
realdrivesim,kgfp_det,0.0718580037355423,0.7885249102840794,0.9710010290145874,0.5497040294915898
realdrivesim,gram,0.046054013073444366,0.44104824897109013,0.8813751339912415,1.0499870427244402
realdrivesim,knn5,0.048745110630989075,0.4871056891186509,0.8980121612548828,1.0091461501384167
realdrivesim,vim_residual_pca100,0.04324840009212494,0.34809149769122666,0.8608618974685669,1.1501039567650109
sim10k,ours_detsae,0.054072096943855286,0.6008669507158767,0.7789899706840515,0.8062274729936721
sim10k,sf,0.049142446368932724,0.5097542582751374,0.7240933775901794,0.9063818834404007
sim10k,lfr,0.04400739446282387,0.49594673009588847,0.7214617133140564,1.022161144006456
sim10k,lf_ash_p75,0.040926363319158554,0.49523733222190164,0.7134978175163269,0.9718914038131786
sim10k,lfa,0.06275033205747604,0.5316122145661263,0.7482303977012634,0.9624888881178476
sim10k,saod_global,0.03173461928963661,0.4158490837415059,0.6736847758293152,1.103890897027473
sim10k,vilu_det,0.07348259538412094,0.5734356326576275,0.7689329385757446,0.8472498323759128
sim10k,bta_det,0.03317243605852127,0.4611719312890772,0.6957180500030518,1.0499415250921276
sim10k,kgfp_det,0.05679367482662201,0.5639352022929179,0.7705549001693726,0.884981319650457
sim10k,gram,0.05191537365317345,0.552894800921252,0.7499580383300781,0.9080373822975545
sim10k,knn5,0.07461230456829071,0.54962126855343,0.7522012591362,0.8946020304641302
sim10k,vim_residual_pca100,0.043750643730163574,0.49942080426664937,0.7128149271011353,0.9853396695775117
